@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
69,'2017/11/01 22:00:17:773',1,1,0,0.98315,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
70,'2017/11/01 22:00:17:798',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
71,'2017/11/01 22:00:17:831',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
72,'2017/11/01 22:00:17:853',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
73,'2017/11/01 22:00:17:883',1,1,0,0.982906,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
74,'2017/11/01 22:00:17:910',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
75,'2017/11/01 22:00:17:923',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
76,'2017/11/01 22:00:17:948',1,1,0,0.98315,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
77,'2017/11/01 22:00:17:973',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
78,'2017/11/01 22:00:18:006',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
79,'2017/11/01 22:00:18:023',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
80,'2017/11/01 22:00:18:048',1,1,0,0.983394,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
81,'2017/11/01 22:00:18:073',1,1,0,0.983394,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
82,'2017/11/01 22:00:18:098',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
83,'2017/11/01 22:00:18:124',1,1,0,0.983394,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
84,'2017/11/01 22:00:18:149',1,1,0,0.983394,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
85,'2017/11/01 22:00:18:173',1,1,0,0.98315,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
86,'2017/11/01 22:00:18:208',1,1,0,0.983394,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
87,'2017/11/01 22:00:18:223',1,1,0,0.983639,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
88,'2017/11/01 22:00:18:248',1,1,0,0.983883,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
89,'2017/11/01 22:00:18:273',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
90,'2017/11/01 22:00:18:298',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
91,'2017/11/01 22:00:18:323',1,1,0,0.983394,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
92,'2017/11/01 22:00:18:353',1,1,0,0.983639,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
93,'2017/11/01 22:00:18:383',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
94,'2017/11/01 22:00:18:398',1,1,0,0.98315,0.078431,0.171924,0.412667,0.945266,0.083828,0.210086
95,'2017/11/01 22:00:18:425',1,1,0,0.982906,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
96,'2017/11/01 22:00:18:448',1,1,0,0.98315,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
97,'2017/11/01 22:00:18:473',1,1,0,0.98315,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
98,'2017/11/01 22:00:18:498',1,1,0,0.982173,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
99,'2017/11/01 22:00:18:523',1,1,0,0.983394,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
100,'2017/11/01 22:00:18:550',1,1,0,0.983639,0.082353,0.171924,0.412667,0.945266,0.083828,0.210086
101,'2017/11/01 22:00:18:578',1,1,0,0.982662,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
102,'2017/11/01 22:00:18:598',1,1,0,0.981197,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
103,'2017/11/01 22:00:18:623',1,1,0,0.981441,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
104,'2017/11/01 22:00:18:648',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
105,'2017/11/01 22:00:18:673',1,1,0,0.981929,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
106,'2017/11/01 22:00:18:698',1,1,0,0.982418,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
107,'2017/11/01 22:00:18:723',1,1,0,0.982906,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
108,'2017/11/01 22:00:18:756',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
109,'2017/11/01 22:00:18:784',1,1,0,0.981685,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
110,'2017/11/01 22:00:18:802',1,1,0,0.982418,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
111,'2017/11/01 22:00:18:834',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
112,'2017/11/01 22:00:18:855',1,1,0,0.983639,0.086275,0.171924,0.412667,0.945266,0.083828,0.210086
113,'2017/11/01 22:00:18:882',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
114,'2017/11/01 22:00:18:903',1,1,0,0.982662,0.090196,0.171924,0.412667,0.945266,0.083828,0.210086
115,'2017/11/01 22:00:18:933',1,1,0,0.981929,0.094118,0.171924,0.412667,0.945266,0.083828,0.210086
116,'2017/11/01 22:00:18:962',1,1,0,0.981197,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
117,'2017/11/01 22:00:18:973',1,1,0,0.980952,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
118,'2017/11/01 22:00:18:998',1,1,0,0.980952,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
119,'2017/11/01 22:00:19:026',1,1,0,0.981197,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
120,'2017/11/01 22:00:19:059',1,1,0,0.981197,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
121,'2017/11/01 22:00:19:073',1,1,0,0.981197,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
122,'2017/11/01 22:00:19:098',1,1,0,0.981197,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
123,'2017/11/01 22:00:19:124',1,1,0,0.981197,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
124,'2017/11/01 22:00:19:148',1,1,0,0.981441,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
125,'2017/11/01 22:00:19:173',1,1,0,0.980952,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
126,'2017/11/01 22:00:19:202',1,1,0,0.981197,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
127,'2017/11/01 22:00:19:235',1,1,0,0.981197,0.105882,0.171924,0.412667,0.945266,0.083828,0.210086
128,'2017/11/01 22:00:19:248',1,1,0,0.981197,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
129,'2017/11/01 22:00:19:273',1,1,0,0.981197,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
130,'2017/11/01 22:00:19:298',1,1,0,0.980952,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
131,'2017/11/01 22:00:19:335',1,1,0,0.981441,0.101961,0.171924,0.412667,0.945266,0.083828,0.210086
132,'2017/11/01 22:00:19:348',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
133,'2017/11/01 22:00:19:373',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
134,'2017/11/01 22:00:19:398',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
135,'2017/11/01 22:00:19:426',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
136,'2017/11/01 22:00:19:448',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
137,'2017/11/01 22:00:19:473',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
138,'2017/11/01 22:00:19:498',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
139,'2017/11/01 22:00:19:528',1,1,0,0.982173,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
140,'2017/11/01 22:00:19:548',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
141,'2017/11/01 22:00:19:573',1,1,0,0.981685,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
142,'2017/11/01 22:00:19:598',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
143,'2017/11/01 22:00:19:623',1,1,0,0.982173,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
144,'2017/11/01 22:00:19:648',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
145,'2017/11/01 22:00:19:673',1,1,0,0.981929,0.098039,0.171924,0.412667,0.945266,0.083828,0.210086
